节点类型,节点名称,节点名称,节点名称,节点名称,节点名称,节点名称,节点名称,前置节点,后置节点,关联节点,标签,知识点分类,节点说明
知识点,,,,,离线数据程序设计方式,,,,,,,,
知识点,,,,,机器人语言方式,,,,,,,,
分类,,,,机器人程序设计语言,,,,,,,,,
知识点,,,,,机器人语言通常分为3级：动作水平级、对象物水平级和作业目标水平级(也称任务级)。,,,,,,,,
知识点,,,,,通用机器人语言GRL,,,,,,,,
知识点,,,,,反应式行动规划系统 RAPS,,,,,,,,
知识点,,,,,GOLOG  语言,,,,,,,,
知识点,,,,,嵌入式系统C++ 语言CES,,,,,,,,
知识点,,,,,ALISP,,,,,,,,
分类,,智能计算机与智能化网络,,,,,,,,,,,
分类,,,智能计算机,,,,,,,,,,
分类,,,,智能硬件平台,,,,,,,,,
分类,,,,,定义7,,,,,,,,
知识点,,,,,,直接支持智能系统开发和运行的智能硬件设备。,,,,,,,
分类,,,,,LISP机,,,,,,,,
知识点,,,,,,LISP机是一种面向符号处理、直接以LISP语言为机器语言的计算机，由美国麻省 理工学院AI实验室的R.格林布拉特于20世纪70年代初首先研制成功。,,,,,,,
分类,,,,,PROLOG机,,,,,,,,
知识点,,,,,,是一种面向逻辑推理、直接以PROLOG语言为机器语言的计算机。,,,,,,,
分类,,,,,人工智能芯片,,,,,,,,
知识点,,,,,,GPU,,,,,,,
知识点,,,,,,FPGA,,,,,,,
知识点,,,,,,TPU,,,,,,,
知识点,,,,,类脑芯片,,,,,,,,
分类,,,,智能操作系统,,,,,,,,,
分类,,,,,定义8,,,,,,,,
知识点,,,,,,以智能计算机硬件为基础，能实现计算机硬软件资源的智能管理与调度，具有智能接口，并能支撑外层的智能应用程序的新一代操作系统。,,,,,,,
分类,,,,,特点,,,,,,,,
知识点,,,,,,并行性、分布性和智能性,,,,,,,
分类,,,智能化网络,,,,,,,,,,
分类,,,,智能网,,,,,,,,,
分类,,,,,定义9,,,,,,,,
知识点,,,,,,在原有通信网络(即交换与传输网 络结构)基础上，为快速、方便、经济、灵活地提供电信新业务(也称增值业务)而设置的一 种附加网络结构。,,,,,,,
分类,,,,,结构,,,,,,,,
分类,,,,,,业务交换点,,,,,,,
知识点,,,,,,,智能网中的交换机，但它只用来完成基本的呼叫处理和接续控制以及与SCP 的信息交互,,,,,,
分类,,,,,,业务控制点,,,,,,,
知识点,,,,,,,一般由大中型计算机和大型高速实时数据库构成，用来存放智能业务程序和数据,,,,,,
知识点,,,,,,业务数据点,,,,,,,
知识点,,,,,,业务管理点,,,,,,,
知识点,,,,,,业务生成环境,,,,,,,
分类,,,,,特点1,,,,,,,,
知识点,,,,,,功能分离，集中控制,,,,,,,
知识点,,,,,,模块编程，组合配置,,,,,,,
分类,,,,智能Web,,,,,,,,,
分类,,,,,万维网,,,,,,,,
分类,,,,,,定义10,,,,,,,
知识点,,,,,,,"WWW(World  Wide  Web,万维网),简称 Web, 是基于Internet  的一个超大型信息网 络系统，于1991年由Tim   Berners-Lee创建。",,,,,,
分类,,,,,语义Web,,,,,,,,
分类,,,,,,定义11,,,,,,,
知识点,,,,,,,语义Web则是进一步将(文档中的)知识(数据)互联，或者说将文档变成机器可读的知识结构(元数据)而形成的一种数据Web。,,,,,,
分类,,,,,,语义Web的体系结构,,,,,,,
知识点,,,,,,,第1层是基础层，主要包括Unicode和 URI。,,,,,,
知识点,,,,,,,第2层是句法层，包括XML、NS和xml schema 。,,,,,,
知识点,,,,,,,第3层是数据层，包括RDF 和 rdfschema,,,,,,
知识点,,,,,,,"第4层是语义层，Ontology   vocabulary,即本体词汇。",,,,,,
知识点,,,,,,,第5层是逻辑层，在前面各层的基础上进行逻辑推理操作；,,,,,,
知识点,,,,,,,第6层是验证层，根据逻辑陈述进行验证，以证明输出的可靠性以及其是否符合用户的要求；,,,,,,
知识点,,,,,,,第7层是信任层，是语义Web安全的组成部分，主要负责发布语义Web 所能支持的信任评估。,,,,,,
分类,,,,,,语义Web的关键技术,,,,,,,
知识点,,,,,,,XML,,,,,,
知识点,,,,,,,RDF,,,,,,
知识点,,,,,,,Ontology,,,,,,
分类,,,,网络的智能化管理与控制,,,,,,,,,
分类,,,,,在管理功能中引入智能技术,,,,,,,,
知识点,,,,,,在配置管理中，可以用人工智能中自动规划与配置技术实现优化配置，提高网络资源利用率。,,,,,,,
知识点,,,,,,在故障管理中，可建立故障诊断专家系统。,,,,,,,
知识点,,,,,,在性能管理中，性能分析可以采用知识库和专家系统技术提高其水平和速度。,,,,,,,
知识点,,,,,,在安全管理中，入侵检测中可使用多种智能技术,,,,,,,
分类,,,,,在管理方法中引入智能技术,,,,,,,,
知识点,,,,,,"智能Agent具有一定的知识，它能自治地检测环境(被管对象及其自身的状态),经过分析、推理后，对环境进行调整和改造，必要时还可与其他智能 Agent 通信联络。",,,,,,,
知识点,,,,,,专家系统技术,,,,,,,
分类,,,,,智能网络管理系统,,,,,,,,
知识点,,,,,,处理不确定性问题的能力,,,,,,,
知识点,,,,,,协作能力,,,,,,,
知识点,,,,,,应变能力,,,,,,,
知识点,,,,,,解释和推理能力,,,,,,,
知识点,,,,,,记忆和学习能力,,,,,,,
分类,,,,智能化检索,,,,,,,,,
分类,,,,,搜索引擎,,,,,,,,
分类,,,,,,定义12,,,,,,,
知识点,,,,,,,专门为用户提供信息发布和信息查询服务的一种软件系统。,,,,,,
知识点,,,,,,信息搜集：搜集网上所发布的各种信息，并录入其数据库。,,,,,,,
知识点,,,,,,信息组织：对搜集来的信息进行分类、索引和摘要。,,,,,,,
知识点,,,,,,信息检索：提供多种检索方式，为用户从数据库中检索出所需求的信息，满足信息需求者的需要。,,,,,,,
分类,,,,,智能搜索引擎,,,,,,,,
知识点,,,,,,信息分类技术,,,,,,,
知识点,,,,,,基于内容的自动索引技术,,,,,,,
分类,,,,,,理解式自动文摘技术,,,,,,,
知识点,,,,,,,频度统计法,,,,,,
知识点,,,,,,,关键位置判定法,,,,,,
知识点,,,,,,,句法频度结合法,,,,,,
知识点,,,,,,基于Agent 的网上信息搜索,,,,,,,
知识点,,,,,,基于知识图谱的语义搜索,,,,,,,
知识点,,,,,,网页排序技术,,,,,,,
分类,,,,推荐系统,,,,,,,,,
分类,,,,,定义13,,,,,,,,
知识点,,,,,,推荐系统就是专门为上网用户适时推荐或推送有关资讯、物品或服务等的一种个性化信息服务系统。,,,,,,,
分类,,,,,组成,,,,,,,,
知识点,,,,,,推荐系统一般由用户资料、物品资料、分析建模、用户模型及物品模型、推荐算法等模块组成,,,,,,,
分类,,,,,推荐算法,,,,,,,,
知识点,,,,,,推荐算法把用户模型中的用户的兴趣、偏好、 相似性等信息和知识与物品模型中的特征、分类、关联等信息和知识相匹配，并进行相应 的推理、计算和筛选，找到用户可能感兴趣的物品，然后推荐给用户。,,,,,,,
知识点,,,,,,协同过滤推荐,,,,,,,
知识点,,,,,,基于内容的推荐,,,,,,,
知识点,,,,,,基于关联规则的推荐,,,,,,,
知识点,,,,,,基于效用 的推荐,,,,,,,
知识点,,,,,,基于知识的推荐,,,,,,,
知识点,,,,,,基于标签的推荐,,,,,,,
知识点,,,,,,混合推荐,,,,,,,
分类,概述与工具,,,,,,,,,,,,
分类,,人工智能的概念,,,,,,,,,,,
分类,,,人工智能,,,,,,,,,,
分类,,,,定义6,,,,,,,,,
知识点,,,,,"人工智能是那些与人的思维相关的活动，诸如决策、问题求解和学习等的自动化 (Bellman,1978)。",,,,,,,,
知识点,,,,,"人工智能是一种计算机能够思维，使机器具有智力的激动人心的新尝试(Haugeland,1985)",,,,,,,,
知识点,,,,,"人工智能是研究如何让计算机做现阶段只有人才能做得好的事情(Rich Knight,1991)",,,,,,,,
知识点,,,,,"人工智能是那些使知觉、推理和行为成为可能的计算的研究(Winston,1992)。",,,,,,,,
知识点,,,,,"广义地讲，人工智能是关于人造物的智能行为，而智能行为包括知觉、推理、学习、交流和在复杂环境中的行为(Nilsson,1998)。",,,,,,,,
知识点,,,,,Stuart Russell和Peter Norvig 则把已有的一些人工智能定义分为4类：像人一样思考的系统、像人一样行动的系统、理性地思考的系统、理性地行动的系统(2003)。,,,,,,,,
知识点,,,,图灵测试,,,,,,,,,
知识点,,,,中文屋子,,,,,,,,,
知识点,,,,脑智能,,,,,,,,,
知识点,,,,群智能,,,,,,,,,
知识点,,,,弱人工智能,,,,,,,,,
知识点,,,,强人工智能,,,,,,,,,
知识点,,,,符号智能,,,,,,,,,
知识点,,,,计算智能,,,,,,,,,
知识点,,,,统计智能,,,,,,,,,
知识点,,,,交互智能,,,,,,,,,
分类,,,人工智能应用,,,,,,,,,,
知识点,,,,难题求解,,,,,,,,,
知识点,,,,自动规划,,,,,,,,,
知识点,,,,机器博弈,,,,,,,,,
知识点,,,,机器翻译与写作,,,,,,,,,
知识点,,,,定理证明,,,,,,,,,
知识点,,,,自动程序设计,,,,,,,,,
知识点,,,,智能控制,,,,,,,,,
知识点,,,,智能管理,,,,,,,,,
知识点,,,,智能决策,,,,,,,,,
知识点,,,,智能通信,,,,,,,,,
知识点,,,,智能预测,,,,,,,,,
知识点,,,,智能仿真,,,,,,,,,
知识点,,,,智能设计与制造,,,,,,,,,
知识点,,,,智能车辆与智能交通,,,,,,,,,
知识点,,,,智能诊断与治疗,,,,,,,,,
知识点,,,,智能生物信息处理,,,,,,,,,
知识点,,,,智能教育,,,,,,,,,
知识点,,,,智能人-机接口,,,,,,,,,
知识点,,,,模式识别,,,,,,,,,
知识点,,,,智能机器人,,,,,,,,,
知识点,,,,数据挖掘与知识发现,,,,,,,,,
知识点,,,,计算机辅助创新,,,,,,,,,
知识点,,,,计算机文艺创作,,,,,,,,,
分类,,,研究内容,,,,,,,,,,
知识点,,,,搜索与求解,,,,,,,,,
知识点,,,,知识与推理,,,,,,,,,
知识点,,,,学习与发现,,,,,,,,,
知识点,,,,发明与创造,,,,,,,,,
知识点,,,,感知与响应,,,,,,,,,
知识点,,,,理解与交流,,,,,,,,,
知识点,,,,记忆与联想,,,,,,,,,
知识点,,,,竞争与协作,,,,,,,,,
知识点,,,,系统与建造,,,,,,,,,
知识点,,,,应用与工程,,,,,,,,,
知识点,,,研究途径与方法,,,,,,,,,,
分类,,人工智能程序设计语言,,,,,,,,,,,
知识点,,,函数型语言,,,,,,,,,,
知识点,,,逻辑型语言,,,,,,,,,,
知识点,,,面向对象语言,,,,,,,,,,
知识点,,,计算型语言,,,,,,,,,,
知识点,,,混合型语言,,,,,,,,,,
分类,搜索与求解,,,,,,,,,,,,
知识点,,图搜索与问题求解,,,,,,,,,,,
分类,,基于遗传算法的随机优化搜索,,,,,,,,,,,
分类,,,遗传算法,,,,,,,,,,
知识点,,,,染色体,,,,,,,,,
分类,,,,适应度,,,,,,,,,
知识点,,,,,适应度函数,,,,,,,,
知识点,,,,种群,,,,,,,,,
分类,,,,遗传操作,,,,,,,,,
分类,,,,,选择-复制,,,,,,,,
知识点,,,,,,选择概率,,,,,,,
知识点,,,,,交叉,,,,,,,,
知识点,,,,,变异,,,,,,,,
分类,,,,遗传算法过程,,,,,,,,,
知识点,,,,,"(1)在论域空间U 上定义一个适应度函数f(x), 给定种群规模N, 交叉率P。和变异率Pm, 代数T。",,,,,,,,
知识点,,,,,"(2)随机产生U 中 的N 个染色体s₁,S₂,…,sn, 组成初始种群S={s₁,s₂,…,sn},  置代数计数器t=1。",,,,,,,,
知识点,,,,,(3)计算S 中每个染色体的适应度f(x)。,,,,,,,,
知识点,,,,,(4)若终止条件满足，则取S 中适应度最大的染色体作为所求结果，算法结束。,,,,,,,,
知识点,,,,,(5)按选择概率P(x₁) 所决定的选中机会，每次从S 中随机选定1个染色体并将其复制，共做N 次，然后将复制所得的N 个染色体组成群体S₁。,,,,,,,,
知识点,,,,,"(6)按交叉率P。所决定的参加交叉的染色体数c, 从 S₁ 中随机确定c 个染色体，配对进行交叉操作，并 用产生的新染色体代替原染色体，得群体S₂。",,,,,,,,
知识点,,,,,"(7)按变异率P    所决定的变异次数m, 从S₂  中随机确定m 个染色体，分别进行变异操作，并用产生的 新染色体代替原染色体，得群体Sg。",,,,,,,,
知识点,,,,,"(8)将群体S₃  作为新一代种群，即用S₃   代 替S,t=t+1,  转步骤(3)。",,,,,,,,
分类,,,,遗传算法特点,,,,,,,,,
知识点,,,,,遗传算法一般是直接在解空间搜索，而不像图搜索那样一般是在问题空间搜索， 最后才找到解(如果搜索成功的话),,,,,,,,
知识点,,,,,遗传算法的搜索随机地始于搜索空间的一个点集，而不像图搜索那样固定地始 于搜索空间的初始节点或终止节点。所以，遗传算法是一种随机搜索算法。,,,,,,,,
知识点,,,,,"遗传算法总是在寻找优解(最优解或次优解),而不像图搜索那样并非总是要求 优解，而一般是设法尽快找到解(当然包括优解)。所以，遗传算法又是一种优化搜索 算法。",,,,,,,,
知识点,,,,,遗传算法的搜索过程是从空间的一个点集(种群)到另一个点集(种群)的搜索， 而不像图搜索那样一般是从空间的一个点到另一个点的搜索。因而它实际是一种并行搜 索，适合大规模并行计算，而且这种种群到种群的搜索有能力跳出局部最优解。,,,,,,,,
知识点,,,,,遗传算法的适应性强，除需知适应度函数外，几乎不需要其他先验知识。,,,,,,,,
知识点,,,,,遗传算法长于全局搜索，它不受搜索空间的限制性假设的约束，不要求连续性， 能以很大的概率从离散的、多极值的、含有噪声的高维问题中找到全局最优解。,,,,,,,,
